,Attr,Value,Matrix,Train,Fit,Model
112,Alcohol use,0.315,1,1,under,NN
113,Dust Allergy,0.385,1,1,under,NN
114,OccuPational Hazards,0.395,1,1,under,NN
115,Genetic Risk,0.32,1,1,under,NN
116,chronic Lung Disease,0.285,1,1,under,NN
117,Balanced Diet,0.43,1,1,under,NN
118,Obesity,0.35,1,1,under,NN
119,Smoking,0.27,1,1,under,NN
120,Passive Smoker,0.33,1,1,under,NN
121,Chest Pain,0.325,1,1,under,NN
122,Coughing of Blood,0.2,1,1,under,NN
123,Fatigue,0.275,1,1,under,NN
124,Weight Loss,0.335,1,1,under,NN
125,Shortness of Breath,0.24,1,1,under,NN
126,Wheezing,0.275,1,1,under,NN
127,Swallowing Difficulty,0.23,1,1,under,NN
128,Clubbing of Finger Nails,0.305,1,1,under,NN
129,Frequent Cold,0.245,1,1,under,NN
130,Dry Cough,0.29,1,1,under,NN
131,Snoring,0.27,1,1,under,NN
132,Gender,0.595,0,0,under,NN
133,Air Pollution,0.435,0,0,under,NN
134,Alcohol use,0.43,0,0,under,NN
135,Dust Allergy,0.43,0,0,under,NN
136,OccuPational Hazards,0.4,0,0,under,NN
137,Genetic Risk,0.375,0,0,under,NN
138,chronic Lung Disease,0.415,0,0,under,NN
139,Balanced Diet,0.39,0,0,under,NN
140,Obesity,0.41,0,0,under,NN
141,Smoking,0.2,0,0,under,NN
142,Passive Smoker,0.315,0,0,under,NN
143,Chest Pain,0.355,0,0,under,NN
144,Coughing of Blood,0.33,0,0,under,NN
145,Fatigue,0.2,0,0,under,NN
146,Weight Loss,0.26,0,0,under,NN
147,Shortness of Breath,0.23,0,0,under,NN
148,Wheezing,0.255,0,0,under,NN
149,Swallowing Difficulty,0.32,0,0,under,NN
150,Clubbing of Finger Nails,0.245,0,0,under,NN
151,Frequent Cold,0.22,0,0,under,NN
152,Dry Cough,0.255,0,0,under,NN
153,Snoring,0.32,0,0,under,NN
154,Gender,0.625,1,0,under,NN
155,Air Pollution,0.365,1,0,under,NN
156,Alcohol use,0.33,1,0,under,NN
157,Dust Allergy,0.43,1,0,under,NN
158,OccuPational Hazards,0.445,1,0,under,NN
159,Genetic Risk,0.355,1,0,under,NN
160,chronic Lung Disease,0.345,1,0,under,NN
161,Balanced Diet,0.425,1,0,under,NN
162,Obesity,0.41,1,0,under,NN
163,Smoking,0.28,1,0,under,NN
164,Passive Smoker,0.39,1,0,under,NN
165,Chest Pain,0.335,1,0,under,NN
166,Coughing of Blood,0.22,1,0,under,NN
167,Fatigue,0.19,1,0,under,NN
168,Weight Loss,0.265,1,0,under,NN
169,Shortness of Breath,0.24,1,0,under,NN
170,Wheezing,0.23,1,0,under,NN
171,Swallowing Difficulty,0.23,1,0,under,NN
172,Clubbing of Finger Nails,0.28,1,0,under,NN
173,Frequent Cold,0.195,1,0,under,NN
174,Dry Cough,0.27,1,0,under,NN
175,Snoring,0.285,1,0,under,NN
